category,value_name,recent_item,type,registry_path
General,42,suspicious.bin | 畳灳捩潩獵戮湩氮歮 | V 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,2,AUFA_Real_Backend | 啁䅆剟慥彬慂正湥⹤湬k\ 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,103,Projects | 牐橯捥獴氮歮 | J 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,147,NAS Module.pdf | 䅎⁓潍畤敬⠠⤳氮歮 | V 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,46,NAS Module.docx | 䅎⁓潍畤敬⠠⤲氮歮 | V 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,73,CebZ1iqtv1Upo9N88 | 瑨灴⵳昭牯獭朮敬䌭扥ㅚ煩癴唱潰丹㠸氮歮 | ~ 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,87,BSSE-SE-IT-DS-.pdf | 卂䕓匭ⵅ呉䐭ⵓ氮歮 | V 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,81,front.pdf | 牦湯⹴湬kD 뻯 | front,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,15,Week1_Day1.png | 敗步弱慄ㅹ氮歮 | N 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,125,Imtiaz_Ali_Resume.pdf | 浉楴穡䅟楬剟獥浵⹥湬k\ 뻯 | Imtiaz_Ali_Resume,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,44,Semester_6_results.pdf | 敓敭瑳牥㙟牟獥汵獴氮歮 | ^ 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,133,Group10_Week2_Task2.pdf | 片畯ㅰ弰敗步弲慔歳⸲湬k` 뻯 | Group10_Week2_Task2,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,31,week_05_Roadmap.png | 敷步た張潒摡慭⹰湬kX 뻯 | week_05_Roadmap,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,67,Group10_Week2_Task2.pdf.pptx | 片畯ㅰ弰敗步弲慔歳⸲摰⹦湬kh 뻯 | Group10_Week2_Task2.pdf,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,108,?url=https://forms.gle/8DV8R57nqUZixABw8&oid=e6e4a32f-d453-441f-a2a4-456c4bc4d6ae&source=teams | 業牣獯景⵴摥敧ⴭ甭汲栽瑴獰㌥╡昲㈥晦牯獭朮敬㈥㡦噄券㜵煮婕硩䉁㡷漦摩攽收愴㈳ⵦ㑤㌵㐭ㄴⵦ㉡㑡㐭㘵㑣换搴愶♥潳牵散琽慥獭氮歮 | Ħ 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,56,System.xml | 祓瑳浥氮歮 | F 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,11,Provisional End Term Result Spring 2026 (Bs Software Engineering) Main Campus.pdf | 牐癯獩潩慮⁬湅⁤敔浲删獥汵⁴灓楲杮㈠㈰‶䈨⁳潓瑦慷敲䔠杮湩敥楲杮 慍湩䌠浡異⹳湬kÔ 뻯 | Provisional End Term Result Spring 2026 (Bs Software Engineering) Main Campus,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,8,Spring 26-SE Department End Term Result.pdf | 灓楲杮㈠ⴶ䕓䐠灥牡浴湥⁴湅⁤敔浲删獥汵⁴㈨⸩湬k 뻯 | Spring 26-SE Department End Term Result (2),REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,139,WhatsApp Image 2026-01-18 at 10.51.09 PM.jpeg | 桗瑡䅳灰䤠慭敧㈠㈰ⴶ㄰ㄭ‸瑡ㄠ⸰ㄵ〮‹䵐氮歮 |  뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,85,main.py | 慭湩瀮⹹湬kH 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,54,kali-linux-2026.2-vmware-amd64.vmx | 慫楬氭湩硵㈭㈰⸶ⴲ浶慷敲愭摭㐶⠠⤲氮歮 | ~ 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,115,c3e075ab-7406-4219-9b24-504160fe9532.jpg | ㍣づ㔷扡㜭〴ⴶ㈴㤱㤭㉢ⴴ〵ㄴ〶敦㔹㈳氮歮 |  뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,30,Digital-Forensics-Internship---2026-NCERT-ISB | 楄楧慴⵬潆敲獮捩⵳湉整湲桳灩ⴭ㈭㈰ⴶ䍎剅ⵔ卉⁂㈨⸩湬k 뻯 | Digital-Forensics-Internship---2026-NCERT-ISB (2),REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,119,practics.sln | 牰捡楴獣献湬氮歮 | R 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,4,data | 慤慴氮歮 | B 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,66,Group10_Week3_Task3.pptx | 片畯ㅰ弰敗步弳慔歳⸳湬k` 뻯 | Group10_Week3_Task3,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,117,week3_summary.html | 敷步弳畳浭牡⹹湬kT 뻯 | week3_summary,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,138,cyber-apocalypse-ctf-2026-the-salt-crown-3432 | 瑨灴⵳挭晴栮捡瑫敨潢⹸潣⵭癥湥⵴敤慴汩⵳祣敢⵲灡捯污灹敳挭晴㈭㈰ⴶ桴ⵥ慳瑬挭潲湷㌭㌴⸲湬kä 뻯 | https--ctf.hackthebox.com-event-details-cyber-apocalypse-ctf-2026-the-salt-crown-3432,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,126,DoctorAppointmentApp.git | 瑨灴⵳札瑩畨⹢潣⵭浉楴穡ㄱ㈲㌳㐴䐭捯潴䅲灰楯瑮敭瑮灁⹰楧⹴湬k¬ 뻯 | https--github.com-Imtiaz11223344-DoctorAppointmentApp.git,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,134,edit?&filePath=C:\Users\Boss\Pictures\Screenshots\Screenshot 2026-07-25 081113.png&isTemporary=false&saved=true&source=MarkUpButton | 獭猭牣敥獮敫捴敨楤♴楦敬慐桴䌽㌥╁䌵獕牥╳䌵潂獳㔥偃捩畴敲╳䌵捓敲湥桳瑯╳䌵捓敲湥桳瑯㈥㈰㈰ⴶ㜰㈭┵〲㠰ㄱ㌱瀮杮椦味浥潰慲祲昽污敳猦癡摥琽畲♥潳牵散䴽牡啫䉰瑵潴⹮湬kż 뻯 | ms-screensketchedit&filePath=C%3A%5CUsers%5CBoss%5CPictures%5CScreenshots%5CScreenshot%202026-07-25%20081113.png&isTemporary=false&saved=true&source=MarkUpButton,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,28,Task All | 慔歳䄠汬⠠⤲氮歮 | R 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,129,ntuser.dat.LOG2 | 瑮獵牥搮瑡䰮䝏⸲湬kX 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,121,cyberjunkie | 祣敢橲湵楫⹥湬kP 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,5,raw | 慲⹷湬k@ 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,128,DEFAULT.LOG1 | 䕄䅆䱕⹔佌ㅇ氮歮 | R 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,47,config | 潣普杩氮歮 | F 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,57,DEFAULT_clean | 䕄䅆䱕彔汣慥⹮湬kT 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,101,a24de668-d492-459a-b81d-6759925af8bd-1784554618.zip | ㉡搴㙥㠶搭㤴ⴲ㔴愹戭ㄸⵤ㜶㤵㈹愵㡦摢ㄭ㠷㔴㐵ㄶ⸸湬k 뻯 | a24de668-d492-459a-b81d-6759925af8bd-1784554618,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,26,D:\ | 敎⁷潖畬敭⠠⥄⠠⤳氮歮 | ^ 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,39,New Text Document.txt | 敎⁷敔瑸䐠捯浵湥⹴湬k\ 뻯 | New Text Document,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,100,The Compressed Truth | 桔⁥潃灭敲獳摥吠畲桴氮歮 | b 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,62,Stage_1 | 瑓条彥⸱湬kH 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,112,senior documents .pdf | 敳楮牯搠捯浵湥獴⸠湬k\ 뻯 | senior documents,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,106,forensics_decryption_strategy.zip | 潦敲獮捩彳敤牣灹楴湯獟牴瑡来⹹湬kt 뻯 | forensics_decryption_strategy,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,90,ProcessMonitor.zip | 牐捯獥䵳湯瑩牯氮歮 | V 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,116,network.pcap | 敮睴牯⹫湬kH 뻯 | network,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,146,Stage_5 | 瑓条彥⸵湬kH 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,63,C.zip | ⹃湬k< 뻯,REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
General,111,Logfile.7z | 潌晧汩⁥㈨⸩湬kP 뻯 | Logfile (2),REG_BINARY,Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs
